timestamp,open,high,low,close,volume
2026-07-28 06:30:00,1883.09,1888.77,1882.74,1888.63,2561.6592
2026-07-28 07:00:00,1888.63,1888.97,1885.2,1885.41,1153.6444
2026-07-28 07:30:00,1885.41,1886.15,1880.92,1883.84,2366.9132
2026-07-28 08:00:00,1883.84,1885.5,1880.38,1884.64,2547.5744
2026-07-28 08:30:00,1884.64,1885.85,1881.23,1884.5,1520.7607
2026-07-28 09:00:00,1884.5,1885.12,1880.5,1884.0,1264.0423
2026-07-28 09:30:00,1884.0,1884.93,1874.81,1876.44,1583.7596
2026-07-28 10:00:00,1876.44,1880.49,1873.8,1877.4,1497.6872
2026-07-28 10:30:00,1877.4,1881.0,1876.34,1878.8,1211.2146
2026-07-28 11:00:00,1878.8,1882.02,1872.01,1874.72,2802.9403
2026-07-28 11:30:00,1874.72,1879.72,1872.0,1877.21,1492.9058
2026-07-28 12:00:00,1877.21,1880.0,1874.63,1878.98,1627.5029
2026-07-28 12:30:00,1878.98,1893.34,1878.12,1892.54,3923.5372
2026-07-28 13:00:00,1892.54,1896.28,1883.92,1883.92,2685.7389
2026-07-28 13:30:00,1883.92,1886.97,1857.04,1874.09,7746.6636
2026-07-28 14:00:00,1874.09,1881.61,1867.74,1876.69,3846.9782
2026-07-28 14:30:00,1876.69,1893.57,1876.69,1888.95,3920.7383
2026-07-28 15:00:00,1888.95,1924.49,1884.56,1912.17,8881.1636
2026-07-28 15:30:00,1912.17,1922.21,1909.05,1920.02,5226.7095
2026-07-28 16:00:00,1920.02,1924.04,1914.81,1918.43,2747.5892
2026-07-28 16:30:00,1918.43,1928.94,1914.52,1925.92,3389.4657
2026-07-28 17:00:00,1925.92,1925.92,1906.44,1908.29,3832.0954
2026-07-28 17:30:00,1908.29,1908.75,1893.9,1901.75,3979.2679
2026-07-28 18:00:00,1901.75,1913.21,1901.6,1909.18,2343.8955
2026-07-28 18:30:00,1909.18,1914.92,1908.47,1911.21,1528.6581
2026-07-28 19:00:00,1911.21,1916.59,1911.21,1915.77,1334.1297
